Well Location,Group Name,Group Type,Sample Name,Descriptor1 Name,Descriptor1 Value,Descriptor1 Units,Descriptor2 Name,Descriptor2 Value,Descriptor2 Units
A01,PBlank,,Blank,,,,,,
A02,PBlank,,Blank,,,,,,
A03,PBlank,,Blank,,,,,,
A04,Unknowns,Unknowns,L2_1,,,,,,
A05,Unknowns,Unknowns,L2_1,,,,,,
A06,Unknowns,Unknowns,L2_1,,,,,,
A07,Unknowns,Unknowns,L2_2,,,,,,
A08,Unknowns,Unknowns,L2_2,,,,,,
A09,Unknowns,Unknowns,L2_2,,,,,,
A10,Unknowns,Unknowns,C1_1,,,,,,
A11,Unknowns,Unknowns,C1_1,,,,,,
A12,Unknowns,Unknowns,C1_1,,,,,,
B01,Unknowns,Unknowns,C1_2,,,,,,
B02,Unknowns,Unknowns,C1_2,,,,,,
B03,Unknowns,Unknowns,C1_2,,,,,,
B04,Unknowns,Unknowns,C2_1,,,,,,
B05,Unknowns,Unknowns,C2_1,,,,,,
B06,Unknowns,Unknowns,C2_1,,,,,,
B07,Unknowns,Unknowns,C2_2,,,,,,
B08,Unknowns,Unknowns,C2_2,,,,,,
B09,Unknowns,Unknowns,C2_2,,,,,,
B10,Unknowns,Unknowns,H1_1,,,,,,
B11,Unknowns,Unknowns,H1_1,,,,,,
B12,Unknowns,Unknowns,H1_1,,,,,,
C01,Unknowns,Unknowns,H1_2,,,,,,
C02,Unknowns,Unknowns,H1_2,,,,,,
C03,Unknowns,Unknowns,H1_2,,,,,,
C04,Unknowns,Unknowns,L1_1,,,,,,
C05,Unknowns,Unknowns,L1_1,,,,,,
C06,Unknowns,Unknowns,L1_1,,,,,,
C07,Unknowns,Unknowns,L1_2,,,,,,
C08,Unknowns,Unknowns,L1_2,,,,,,
C09,Unknowns,Unknowns,L1_2,,,,,,
C10,Unknowns,Unknowns,L3_1,,,,,,
C11,Unknowns,Unknowns,L3_1,,,,,,
C12,Unknowns,Unknowns,L3_1,,,,,,
D01,Unknowns,Unknowns,L3_2,,,,,,
D02,Unknowns,Unknowns,L3_2,,,,,,
D03,Unknowns,Unknowns,L3_2,,,,,,
D04,Unknowns,Unknowns,H3_1,,,,,,
D05,Unknowns,Unknowns,H3_1,,,,,,
D06,Unknowns,Unknowns,H3_1,,,,,,
D07,Unknowns,Unknowns,H3_2,,,,,,
D08,Unknowns,Unknowns,H3_2,,,,,,
D09,Unknowns,Unknowns,H3_2,,,,,,
D10,Unknowns,Unknowns,H2_1,,,,,,
D11,Unknowns,Unknowns,H2_1,,,,,,
D12,Unknowns,Unknowns,H2_1,,,,,,
E01,Unknowns,Unknowns,H2_2,,,,,,
E02,Unknowns,Unknowns,H2_2,,,,,,
E03,Unknowns,Unknowns,H2_2,,,,,,
E04,Unknowns,Unknowns,C4_1,,,,,,
E05,Unknowns,Unknowns,C4_1,,,,,,
E06,Unknowns,Unknowns,C4_1,,,,,,
E07,Unknowns,Unknowns,C4_2,,,,,,
E08,Unknowns,Unknowns,C4_2,,,,,,
E09,Unknowns,Unknowns,C4_2,,,,,,
E10,Unknowns,Unknowns,C3_1,,,,,,
E11,Unknowns,Unknowns,C3_1,,,,,,
E12,Unknowns,Unknowns,C3_1,,,,,,
F01,Unknowns,Unknowns,C3_2,,,,,,
F02,Unknowns,Unknowns,C3_2,,,,,,
F03,Unknowns,Unknowns,C3_2,,,,,,
F04,Unknowns,Unknowns,L4_1,,,,,,
F05,Unknowns,Unknowns,L4_1,,,,,,
F06,Unknowns,Unknowns,L4_1,,,,,,
F07,Unknowns,Unknowns,L4_2,,,,,,
F08,Unknowns,Unknowns,L4_2,,,,,,
F09,Unknowns,Unknowns,L4_2,,,,,,
F10,Unknowns,Unknowns,H4_1,,,,,,
F11,Unknowns,Unknowns,H4_1,,,,,,
F12,Unknowns,Unknowns,H4_1,,,,,,
G01,Unknowns,Unknowns,H4_2,,,,,,
G02,Unknowns,Unknowns,H4_2,,,,,,
G03,Unknowns,Unknowns,H4_2,,,,,,
G04,Unknowns,Unknowns,C5_1,,,,,,
G05,Unknowns,Unknowns,C5_1,,,,,,
G06,Unknowns,Unknowns,C5_1,,,,,,
G07,Unknowns,Unknowns,C5_2,,,,,,
G08,Unknowns,Unknowns,C5_2,,,,,,
G09,Unknowns,Unknowns,C5_2,,,,,,
G10,Unknowns,Unknowns,C6_1,,,,,,
G11,Unknowns,Unknowns,C6_1,,,,,,
G12,Unknowns,Unknowns,C6_1,,,,,,
H01,Unknowns,Unknowns,C6_2,,,,,,
H02,Unknowns,Unknowns,C6_2,,,,,,
H03,Unknowns,Unknowns,C6_2,,,,,,
H04,Unknowns,Unknowns,L5_1,,,,,,
H05,Unknowns,Unknowns,L5_1,,,,,,
H06,Unknowns,Unknowns,L5_1,,,,,,
H07,Unknowns,Unknowns,L5_2,,,,,,
H08,Unknowns,Unknowns,L5_2,,,,,,
H09,Unknowns,Unknowns,L5_2,,,,,,
H10,Unknowns,Unknowns,H5_1,,,,,,
H11,Unknowns,Unknowns,H5_1,,,,,,
H12,Unknowns,Unknowns,H5_1,,,,,,
